name,booking_date (Date),id,amount_in_inr
grn,"Jul 16, 2025",139,4734201
Expedia,"Jun 17, 2025",122,2425097
DELHTL1574,"Jul 15, 2025",107,2295814
Expedia,"Jun 11, 2025",106,2270102
Expedia,"Jun 26, 2025",106,2186113
Expedia,"Jul 4, 2025",103,1785771
Expedia,"Jun 4, 2025",101,1769991
Expedia,"Jun 18, 2025",96,3154911
Expedia,"Jun 20, 2025",96,2604344
Expedia,"Jun 16, 2025",94,3484304
DELHTL1574,"Jul 9, 2025",93,2050567
DELHTL1574,"Jul 22, 2025",92,1569199
Expedia,"May 22, 2025",91,2869014
Expedia,"May 28, 2025",91,1731222
Expedia,"Jul 3, 2025",88,1565465
Expedia,"Jun 19, 2025",86,2877173
Expedia,"Jul 8, 2025",86,1611617
DELHTL1574,"Jul 10, 2025",86,1615201
Expedia,"Jun 10, 2025",85,1944511
Expedia,"Jun 12, 2025",85,2265512
Expedia,"May 23, 2025",84,1890581
Expedia,"Aug 18, 2025",83,2151120
Expedia,"Jun 9, 2025",82,2000741
Expedia,"Jun 30, 2025",82,1652054
DELHTL1574,"Jul 17, 2025",82,1197535
Expedia,"Jun 5, 2025",81,1648371
Expedia,"Jun 25, 2025",80,1632753
Ratehawk India,"May 3, 2025",79,2676284
Expedia,"May 20, 2025",79,2275810
Expedia,"May 27, 2025",77,1927533
Expedia,"Jun 3, 2025",77,1708936
DELHTL1574,"Jul 8, 2025",77,3395271
DELHTL1574,"Jul 16, 2025",77,1147528
DELHTL1574,"Jul 21, 2025",77,1264603
Expedia,"May 31, 2025",76,2324545
Expedia,"Jun 21, 2025",76,2179368
Expedia,"May 5, 2025",75,3990406
Expedia,"May 26, 2025",75,1913256
Expedia,"Jul 10, 2025",75,1497590
Expedia,"May 21, 2025",74,2000807
Expedia,"Jul 2, 2025",74,2091393
DELHTL1574,"Jul 24, 2025",73,1453018
Expedia,"May 6, 2025",72,2313329
Expedia,"Jul 11, 2025",72,1451903
Expedia,"Jun 24, 2025",71,1465919
Expedia,"Jun 6, 2025",70,1613906
Expedia,"Jun 27, 2025",70,1682609
DELHTL1574,"Jul 23, 2025",69,977191
Ratehawk India,"May 1, 2025",68,3077865
Ratehawk India,"May 2, 2025",68,2754596
Expedia,"Aug 21, 2025",68,2471987
Expedia,"Jun 14, 2025",67,2174212
Expedia,"Jul 1, 2025",67,1104460
Expedia,"Jul 18, 2025",67,1530000
Expedia,"May 24, 2025",66,1519263
Expedia,"Jun 13, 2025",65,1747938
Expedia,"Jul 9, 2025",65,1273552
DELHTL1574,"Jul 25, 2025",64,823123
Expedia,"Aug 20, 2025",64,1980821
DELHTL1574,"Jul 3, 2025",63,1344466
Expedia,"Jul 19, 2025",63,1540288
DELHTL1574,"Jul 19, 2025",63,697211
Expedia,"Aug 13, 2025",63,1876673
Expedia,"May 29, 2025",62,1397778
